,Distance,Ordre,Temps,Performance,Metric
1,Cosine,comb_d_u,304.8416049480438,63.0,no_order
3,Cosine,comb_u_d,306.5659849643707,70.0,no_order
5,Cosine,distance,308.105126619339,52.0,no_order
7,Cosine,unigram,302.205518245697,70.0,no_order
9,Damerau_Levenshtein,comb_d_u,1529.7534489631653,85.0,no_order
11,Damerau_Levenshtein,distance,1472.3099420070648,73.0,no_order
13,Damerau_Levenshtein,unigram,1512.2559478282928,50.0,no_order
15,Hamming,comb_d_u,211.12742233276367,54.0,no_order
17,Hamming,comb_u_d,205.60984063148499,42.0,no_order
19,Hamming,distance,211.38581037521362,38.0,no_order
21,Hamming,unigram,206.24582052230835,42.0,no_order
23,Jaccard,comb_d_u,376.28254866600037,63.0,no_order
25,Jaccard,comb_u_d,372.49680352211,70.0,no_order
27,Jaccard,distance,380.29848551750183,52.0,no_order
29,Jaccard,unigram,363.224161863327,70.0,no_order
31,Jaro_Winkler,comb_d_u,240.27909994125366,75.0,no_order
33,Jaro_Winkler,comb_u_d,236.72495365142822,75.0,no_order
35,Jaro_Winkler,distance,233.48200511932373,74.0,no_order
37,Jaro_Winkler,unigram,238.37983798980713,75.0,no_order
39,LCSS,comb_d_u,177.15038466453552,45.0,no_order
41,LCSS,comb_u_d,180.4645369052887,30.0,no_order
43,LCSS,distance,181.85923862457275,22.0,no_order
45,LCSS,unigram,183.58272123336792,30.0,no_order
47,Levenshtein,comb_d_u,3635.8080825805664,83.0,no_order
49,Levenshtein,comb_u_d,3149.509541273117,47.0,no_order
51,Levenshtein,distance,2997.4295461177826,67.0,no_order
53,Levenshtein,unigram,3320.488574028015,47.0,no_order
55,Needleman_Wunsch,comb_d_u,4544.872893810272,81.0,no_order
57,Needleman_Wunsch,comb_u_d,4541.740578889847,61.0,no_order
59,Needleman_Wunsch,distance,5421.009654998779,62.0,no_order
61,Needleman_Wunsch,unigram,4514.453169107437,61.0,no_order
63,Soundex,comb_d_u,564.2097272872925,31.0,no_order
65,Soundex,comb_u_d,458.3666880130768,31.0,no_order
67,Soundex,distance,535.4341187477112,3.0,no_order
69,Soundex,unigram,543.4696025848389,42.857142857142854,no_order
