,Distance,Ordre,Temps,Performance,Metric
0,Cosine,comb_d_u,304.8416049480438,55.800000000000004,by_order
1,Cosine,comb_d_u,304.8416049480438,63.0,no_order
2,Cosine,comb_u_d,306.5659849643707,61.6,by_order
3,Cosine,comb_u_d,306.5659849643707,70.0,no_order
4,Cosine,distance,308.105126619339,42.6,by_order
5,Cosine,distance,308.105126619339,52.0,no_order
6,Cosine,unigram,302.205518245697,61.6,by_order
7,Cosine,unigram,302.205518245697,70.0,no_order
8,Hamming,comb_d_u,211.12742233276367,46.2,by_order
9,Hamming,comb_d_u,211.12742233276367,54.0,no_order
10,Hamming,comb_u_d,205.60984063148499,33.4,by_order
11,Hamming,comb_u_d,205.60984063148499,42.0,no_order
12,Hamming,distance,211.38581037521362,34.0,by_order
13,Hamming,distance,211.38581037521362,38.0,no_order
14,Hamming,unigram,206.24582052230835,33.4,by_order
15,Hamming,unigram,206.24582052230835,42.0,no_order
16,Jaccard,comb_d_u,376.28254866600037,55.800000000000004,by_order
17,Jaccard,comb_d_u,376.28254866600037,63.0,no_order
18,Jaccard,comb_u_d,372.49680352211,61.6,by_order
19,Jaccard,comb_u_d,372.49680352211,70.0,no_order
20,Jaccard,distance,380.29848551750183,42.6,by_order
21,Jaccard,distance,380.29848551750183,52.0,no_order
22,Jaccard,unigram,363.224161863327,61.6,by_order
23,Jaccard,unigram,363.224161863327,70.0,no_order
24,Jaro_Winkler,comb_d_u,240.27909994125366,68.60000000000001,by_order
25,Jaro_Winkler,comb_d_u,240.27909994125366,75.0,no_order
26,Jaro_Winkler,comb_u_d,236.72495365142822,70.8,by_order
27,Jaro_Winkler,comb_u_d,236.72495365142822,75.0,no_order
28,Jaro_Winkler,distance,233.48200511932373,66.60000000000001,by_order
29,Jaro_Winkler,distance,233.48200511932373,74.0,no_order
30,Jaro_Winkler,unigram,238.37983798980713,70.8,by_order
31,Jaro_Winkler,unigram,238.37983798980713,75.0,no_order
32,LCSS,comb_d_u,177.15038466453552,34.8,by_order
33,LCSS,comb_d_u,177.15038466453552,45.0,no_order
34,LCSS,comb_u_d,180.4645369052887,21.2,by_order
35,LCSS,comb_u_d,180.4645369052887,30.0,no_order
36,LCSS,distance,181.85923862457275,16.2,by_order
37,LCSS,distance,181.85923862457275,22.0,no_order
38,LCSS,unigram,183.58272123336792,21.2,by_order
39,LCSS,unigram,183.58272123336792,30.0,no_order
40,Levenshtein,comb_d_u,3635.8080825805664,77.4,by_order
41,Levenshtein,comb_d_u,3635.8080825805664,83.0,no_order
42,Levenshtein,comb_u_d,3149.509541273117,36.199999999999996,by_order
43,Levenshtein,comb_u_d,3149.509541273117,47.0,no_order
44,Levenshtein,distance,2997.4295461177826,59.0,by_order
45,Levenshtein,distance,2997.4295461177826,67.0,no_order
46,Levenshtein,unigram,3320.488574028015,36.199999999999996,by_order
47,Levenshtein,unigram,3320.488574028015,47.0,no_order
48,Needleman_Wunsch,comb_d_u,4544.872893810272,73.2,by_order
49,Needleman_Wunsch,comb_d_u,4544.872893810272,81.0,no_order
50,Needleman_Wunsch,comb_u_d,4541.740578889847,49.4,by_order
51,Needleman_Wunsch,comb_u_d,4541.740578889847,61.0,no_order
52,Needleman_Wunsch,distance,5421.009654998779,55.60000000000001,by_order
53,Needleman_Wunsch,distance,5421.009654998779,62.0,no_order
54,Needleman_Wunsch,unigram,4514.453169107437,49.4,by_order
55,Needleman_Wunsch,unigram,4514.453169107437,61.0,no_order
56,Soundex,comb_d_u,564.2097272872925,24.2,by_order
57,Soundex,comb_d_u,564.2097272872925,31.0,no_order
58,Soundex,comb_u_d,458.3666880130768,24.2,by_order
59,Soundex,comb_u_d,458.3666880130768,31.0,no_order
60,Soundex,distance,535.4341187477112,2.0,by_order
61,Soundex,distance,535.4341187477112,3.0,no_order
62,Soundex,unigram,543.4696025848389,22.857142857142858,by_order
63,Soundex,unigram,543.4696025848389,42.857142857142854,no_order
