Times,Sentences,Vector Size,Window,Negative
17.88,306068,size100,window3,neg4
35.11,613068,size100,window3,neg4
52.25,918983,size100,window3,neg4
68.63,1225345,size100,window3,neg4
91.14,1531059,size100,window3,neg4
18.72,306068,size100,window3,neg5
36.31,613068,size100,window3,neg5
54.54,918983,size100,window3,neg5
73.14,1225345,size100,window3,neg5
94.81,1531059,size100,window3,neg5
19.56,306068,size100,window3,neg6
37.2,613068,size100,window3,neg6
56.33,918983,size100,window3,neg6
74.03,1225345,size100,window3,neg6
93.52,1531059,size100,window3,neg6
20.04,306068,size100,window4,neg4
36.78,613068,size100,window4,neg4
53.33,918983,size100,window4,neg4
73.53,1225345,size100,window4,neg4
89.31,1531059,size100,window4,neg4
18.96,306068,size100,window4,neg5
36.4,613068,size100,window4,neg5
52.91,918983,size100,window4,neg5
71.65,1225345,size100,window4,neg5
92.35,1531059,size100,window4,neg5
19.83,306068,size100,window4,neg6
35.9,613068,size100,window4,neg6
53.31,918983,size100,window4,neg6
72.14,1225345,size100,window4,neg6
89.09,1531059,size100,window4,neg6
18.04,306068,size100,window5,neg4
35.53,613068,size100,window5,neg4
51.36,918983,size100,window5,neg4
75.78,1225345,size100,window5,neg4
90.95,1531059,size100,window5,neg4
19.58,306068,size100,window5,neg5
39.54,613068,size100,window5,neg5
56.39,918983,size100,window5,neg5
75.39,1225345,size100,window5,neg5
91.63,1531059,size100,window5,neg5
19.96,306068,size100,window5,neg6
39.33,613068,size100,window5,neg6
57.99,918983,size100,window5,neg6
77.82,1225345,size100,window5,neg6
98.84,1531059,size100,window5,neg6
19.3,306068,size100,window6,neg4
38.12,613068,size100,window6,neg4
55.81,918983,size100,window6,neg4
75.07,1225345,size100,window6,neg4
90.51,1531059,size100,window6,neg4
18.98,306068,size100,window6,neg5
37.47,613068,size100,window6,neg5
55.4,918983,size100,window6,neg5
76.1,1225345,size100,window6,neg5
93.39,1531059,size100,window6,neg5
20.23,306068,size100,window6,neg6
40.46,613068,size100,window6,neg6
59.42,918983,size100,window6,neg6
80.63,1225345,size100,window6,neg6
99.45,1531059,size100,window6,neg6
19.05,306068,size100,window7,neg4
37.24,613068,size100,window7,neg4
55.09,918983,size100,window7,neg4
72.36,1225345,size100,window7,neg4
90.57,1531059,size100,window7,neg4
19.98,306068,size100,window7,neg5
38.85,613068,size100,window7,neg5
58.76,918983,size100,window7,neg5
78.37,1225345,size100,window7,neg5
97.41,1531059,size100,window7,neg5
21.13,306068,size100,window7,neg6
40.77,613068,size100,window7,neg6
60.47,918983,size100,window7,neg6
80.75,1225345,size100,window7,neg6
101.76,1531059,size100,window7,neg6
20.4,306068,size200,window3,neg4
37.26,613068,size200,window3,neg4
56.84,918983,size200,window3,neg4
77.69,1225345,size200,window3,neg4
98.68,1531059,size200,window3,neg4
21.68,306068,size200,window3,neg5
39.69,613068,size200,window3,neg5
69.84,918983,size200,window3,neg5
82.15,1225345,size200,window3,neg5
