Times,Sizes,Sentences,Vector Size,Window,Negative
[17.88 35.11 52.25 68.63 91.14],[147.49 202.81 244.21 278.93 309.11],"[306068, 613068, 918983, 1225345, 1531059]",size100,window3,neg4
[18.72 36.31 54.54 73.14 94.81],[147.49 202.81 244.21 278.93 309.11],"[306068, 613068, 918983, 1225345, 1531059]",size100,window3,neg5
[19.56 37.2  56.33 74.03 93.52],[147.49 202.81 244.21 278.93 309.11],"[306068, 613068, 918983, 1225345, 1531059]",size100,window3,neg6
[20.04 36.78 53.33 73.53 89.31],[147.49 202.81 244.21 278.93 309.11],"[306068, 613068, 918983, 1225345, 1531059]",size100,window4,neg4
[18.96 36.4  52.91 71.65 92.35],[147.49 202.81 244.21 278.93 309.11],"[306068, 613068, 918983, 1225345, 1531059]",size100,window4,neg5
[19.83 35.9  53.31 72.14 89.09],[147.49 202.81 244.21 278.93 309.11],"[306068, 613068, 918983, 1225345, 1531059]",size100,window4,neg6
[18.04 35.53 51.36 75.78 90.95],[147.49 202.81 244.21 278.93 309.11],"[306068, 613068, 918983, 1225345, 1531059]",size100,window5,neg4
[19.58 39.54 56.39 75.39 91.63],[147.49 202.81 244.21 278.93 309.11],"[306068, 613068, 918983, 1225345, 1531059]",size100,window5,neg5
[19.96 39.33 57.99 77.82 98.84],[147.49 202.81 244.21 278.93 309.11],"[306068, 613068, 918983, 1225345, 1531059]",size100,window5,neg6
[19.3  38.12 55.81 75.07 90.51],[147.49 202.81 244.21 278.93 309.11],"[306068, 613068, 918983, 1225345, 1531059]",size100,window6,neg4
[18.98 37.47 55.4  76.1  93.39],[147.49 202.81 244.21 278.93 309.11],"[306068, 613068, 918983, 1225345, 1531059]",size100,window6,neg5
[20.23 40.46 59.42 80.63 99.45],[147.49 202.81 244.21 278.93 309.11],"[306068, 613068, 918983, 1225345, 1531059]",size100,window6,neg6
[19.05 37.24 55.09 72.36 90.57],[147.49 202.81 244.21 278.93 309.11],"[306068, 613068, 918983, 1225345, 1531059]",size100,window7,neg4
[19.98 38.85 58.76 78.37 97.41],[147.49 202.81 244.21 278.93 309.11],"[306068, 613068, 918983, 1225345, 1531059]",size100,window7,neg5
[ 21.13  40.77  60.47  80.75 101.76],[147.49 202.81 244.21 278.93 309.11],"[306068, 613068, 918983, 1225345, 1531059]",size100,window7,neg6
[20.4  37.26 56.84 77.69 98.68],[238.25 327.61 394.5  450.58 499.33],"[306068, 613068, 918983, 1225345, 1531059]",size200,window3,neg4
[ 21.68  39.69  69.84  82.15 100.95],[238.25 327.61 394.5  450.58 499.33],"[306068, 613068, 918983, 1225345, 1531059]",size200,window3,neg5
[ 22.41  40.91  63.01  85.47 105.21],[238.25 327.61 394.5  450.58 499.33],"[306068, 613068, 918983, 1225345, 1531059]",size200,window3,neg6
[19.73 39.13 57.58 75.25 96.36],[238.25 327.61 394.5  450.58 499.33],"[306068, 613068, 918983, 1225345, 1531059]",size200,window4,neg4
[20.87 41.07 58.43 80.15 96.85],[238.25 327.61 394.5  450.58 499.33],"[306068, 613068, 918983, 1225345, 1531059]",size200,window4,neg5
[ 20.72  40.74  61.27  81.39 100.08],[238.25 327.61 394.5  450.58 499.33],"[306068, 613068, 918983, 1225345, 1531059]",size200,window4,neg6
[20.16 40.8  57.89 77.56 96.35],[238.25 327.61 394.5  450.58 499.33],"[306068, 613068, 918983, 1225345, 1531059]",size200,window5,neg4
[20.61 39.44 58.71 77.86 97.78],[238.25 327.61 394.5  450.58 499.33],"[306068, 613068, 918983, 1225345, 1531059]",size200,window5,neg5
[ 21.47  41.07  62.17  82.31 102.46],[238.25 327.61 394.5  450.58 499.33],"[306068, 613068, 918983, 1225345, 1531059]",size200,window5,neg6
[20.   38.76 57.13 76.66 95.94],[238.25 327.61 394.5  450.58 499.33],"[306068, 613068, 918983, 1225345, 1531059]",size200,window6,neg4
[20.97 40.33 59.93 79.89 99.81],[238.25 327.61 394.5  450.58 499.33],"[306068, 613068, 918983, 1225345, 1531059]",size200,window6,neg5
[ 22.11  42.31  63.    84.2  104.92],[238.25 327.61 394.5  450.58 499.33],"[306068, 613068, 918983, 1225345, 1531059]",size200,window6,neg6
[20.09 38.79 58.12 77.46 96.89],[238.25 327.61 394.5  450.58 499.33],"[306068, 613068, 918983, 1225345, 1531059]",size200,window7,neg4
[ 21.28  40.77  61.32  81.62 101.55],[238.25 327.61 394.5  450.58 499.33],"[306068, 613068, 918983, 1225345, 1531059]",size200,window7,neg5
[ 22.17  42.92  63.37  84.21 105.6 ],[238.25 327.61 394.5  450.58 499.33],"[306068, 613068, 918983, 1225345, 1531059]",size200,window7,neg6
[20.01 39.23 58.97 78.5  98.14],[329.01 452.42 544.78 622.23 689.56],"[306068, 613068, 918983, 1225345, 1531059]",size300,window3,neg4
